Roll, Pitch
43.653625, 88.031364
43.660847, 88.553978
43.189610, 88.790649
43.227512, 88.409729
43.390411, 88.305115
43.441490, 88.682426
42.880497, 87.739281
42.792126, 87.293335
42.945492, 88.156349
42.221649, 87.720757
42.872574, 87.709106
42.645660, 87.888901
42.907673, 87.453926
42.559944, 87.820160
41.774952, 87.660133
40.875160, 88.242844
40.226357, 88.403061
38.907726, 88.361176
37.651821, 86.851509
37.510075, 85.619637
38.240120, 86.027771
37.583542, 87.082085
39.389698, 88.207779
41.368099, 88.046204
42.499886, 87.874588
44.163357, 88.852051
43.324207, 89.280045
42.280537, 89.190468
41.008717, 89.550049
39.342716, 88.954498
38.486431, 88.470070
38.351402, 88.223961
39.243515, 87.828804
39.358364, 89.038315
39.851723, 88.874657
39.055298, 88.186378
38.700562, 87.789307
38.595573, 87.966614
37.994564, 89.241508
37.922104, 88.718391
36.703846, 88.551872
37.060055, 88.757164
37.233158, 88.810425
37.072205, 88.406960
37.893513, 88.619629
37.646790, 88.628479
37.096962, 88.265938
36.895473, 87.711624
36.568840, 87.899673
37.007534, 89.886086
36.792450, 90.007126
37.792770, 88.940559
36.902992, 88.870834
35.589497, 87.802177
35.055889, 87.990410
35.021362, 88.110474
35.231529, 87.869072
35.180927, 89.699982
35.801601, 88.994034
36.821449, 89.518341
36.626781, 89.927475
36.508022, 89.337181
33.872250, 88.162697
34.664383, 88.899033
35.538425, 88.898270
35.703087, 90.101181
35.470783, 89.753281
35.917351, 88.968292
35.182068, 88.885201
34.300102, 89.245926
33.328888, 89.150261
33.370777, 89.172188
34.647541, 88.931686
34.622959, 88.452644
35.847027, 88.900520
35.701870, 89.599709
35.000721, 89.361900
34.685482, 89.489326
33.926407, 89.434799
33.449383, 88.440575
33.062225, 88.009209
33.168484, 87.977928
32.424938, 88.067513
31.562183, 88.691978
31.960665, 88.670914
32.314568, 87.982452
32.044415, 87.627617
32.099724, 87.552414
32.631092, 87.351585
31.697063, 87.846283
32.486931, 88.376373
32.557209, 90.177383
32.340919, 88.758484
31.798473, 87.951553
31.167521, 86.901085
31.197842, 86.575333
28.205278, 87.134491
28.785933, 88.325378
29.141214, 88.867630
30.546848, 88.913727
31.315783, 89.371071
32.576935, 89.012482
32.184238, 88.904686
30.991663, 89.297882
29.155306, 88.710190
28.533970, 88.028465
28.245615, 87.733246
27.165768, 87.553886
27.249897, 87.624138
27.552441, 87.012070
28.329082, 86.417877
28.429960, 86.503540
29.526043, 86.627213
30.410334, 88.220726
30.542673, 88.928291
29.017216, 89.597710
27.297728, 89.317024
25.478388, 88.369110
25.283163, 87.816681
25.026346, 88.082977
24.916517, 88.104141
27.003960, 87.689362
27.912081, 87.569313
27.965910, 88.583328
27.921297, 88.421555
26.575169, 87.837685
26.057810, 87.445999
26.149717, 87.740128
26.265903, 87.748199
27.189024, 88.042725
27.936205, 88.026817
27.099083, 89.275467
26.306749, 88.509003
25.305103, 87.895340
25.802830, 87.537804
25.461271, 86.767555
24.708654, 86.396599
24.826357, 86.956276
23.706739, 87.273087
24.618395, 87.723083
24.174709, 87.935387
25.388090, 88.148331
25.313868, 89.465263
24.900675, 88.766266
24.411655, 88.004318
24.195740, 87.899040
24.390516, 86.292160
23.507725, 86.705353
23.141693, 87.529800
23.090599, 87.084892
22.585667, 87.140526
22.146141, 87.852699
21.966635, 87.824379
22.140036, 87.676460
22.800629, 88.364868
22.901016, 87.729515
22.471663, 87.323189
22.645960, 87.878456
22.711226, 87.593384
22.140753, 87.693947
21.297644, 87.749374
21.401718, 86.564270
21.178387, 86.331337
20.353941, 86.445717
20.217764, 85.875130
19.597261, 87.013870
20.718506, 86.955544
21.128523, 87.733757
21.544117, 87.881531
21.460506, 87.459663
20.961061, 87.260498
20.276850, 87.176651
20.034380, 85.766159
18.942854, 86.088501
19.685959, 86.152191
19.982143, 86.489479
19.663818, 86.692245
19.929913, 87.434166
18.931837, 88.046013
17.081764, 87.714622
15.759892, 87.067871
15.166324, 86.828293
15.589552, 86.724846
15.868153, 86.786697
16.327908, 87.092888
17.366114, 86.581726
18.237637, 85.991791
18.412060, 86.808716
17.547985, 87.233276
16.366707, 86.952011
14.630513, 87.203850
14.098890, 86.527542
13.966001, 86.287651
14.019073, 86.887154
15.448500, 86.309380
16.141800, 86.348480
16.984766, 86.279396
16.638477, 86.718758
16.003759, 86.519920
15.445224, 86.103828
14.536385, 86.401558
13.844019, 86.276268
13.442128, 86.532806
13.634396, 86.838531
14.044155, 85.915817
14.075927, 85.428574
13.508870, 86.119896
13.780021, 85.711136
13.577274, 85.921814
13.820390, 84.838356
13.210802, 85.338676
12.894337, 86.333740
12.797307, 86.458412
12.512404, 86.423988
12.533457, 85.799736
12.037122, 85.374954
11.827824, 84.773277
12.089706, 85.193512
12.988791, 84.656769
12.559964, 85.276077
11.788481, 85.044044
10.782144, 85.483444
10.509865, 86.297188
10.364180, 86.340820
10.667265, 86.742249
10.700777, 86.807365
 10.672912, 85.979385
10.812864, 85.390259
10.332351, 86.508560
10.213620, 86.199654
9.855244, 86.180595
10.446612, 86.270653
11.115023, 85.738548
11.249906, 85.975037
11.018456, 86.000671
9.898047, 86.968544
7.035684, 87.363701
6.865849, 86.540176
7.611155, 87.189583
9.953234, 85.751968
11.085288, 86.470268
11.958033, 86.760033
11.189225, 86.283241
10.256486, 86.806190
9.072482, 86.171631
7.788880, 86.016777
8.518669, 85.960762
7.659455, 88.508713
7.944430, 87.713921
8.009073, 86.529259
8.079432, 85.811813
7.934917, 85.511780
7.544770, 86.749611
8.248429, 85.806801
8.429456, 85.993858
7.805965, 86.010208
6.913579, 85.692459
5.031071, 86.189674
3.865052, 86.621201
4.131168, 86.497299
4.208714, 87.127037
5.692267, 87.187721
6.127981, 87.568733
6.340354, 87.095154
6.150799, 87.569778
6.650891, 86.925514
6.790729, 87.253311
6.459338, 87.044319
5.876346, 86.954681
5.570454, 86.448151
5.720976, 85.762177
5.130113, 86.067795
4.474146, 86.735512
4.784933, 86.480339
5.087807, 86.492699
4.659993, 86.569221
5.191440, 85.715042
5.142748, 85.281418
4.864283, 85.388939
4.199906, 85.871719
3.916623, 86.100731
2.997573, 87.117470
3.166561, 87.323120
3.600493, 87.304901
3.528345, 87.589485
2.996487, 87.772736
3.457163, 86.649429
4.482331, 85.533653
4.616596, 85.488739
4.262608, 86.170715
4.496653, 86.385338
4.355326, 86.684486
4.131673, 86.277519
5.131670, 84.869339
5.531462, 84.656227
3.877069, 86.768074
2.478310, 87.821793
2.201161, 87.868500
4.287078, 86.660744
4.801199, 87.629753
4.095774, 89.136200
2.859035, 88.504288
2.464223, 87.547073
5.015231, 85.448143
9.049471, 81.775436
5.769468, 84.786919
3.711832, 86.701706
3.555926, 86.836601
4.207369, 86.257523
4.745172, 85.668953
3.974748, 86.672714
4.587440, 86.362350
4.677444, 86.904877
5.398501, 86.687042
5.994464, 85.372826
5.706820, 85.091682
5.919734, 84.424377
4.745633, 85.577942
4.501498, 86.547287
5.762564, 86.109299
6.508966, 85.834885
6.412188, 86.072144
5.935611, 86.367294
4.216158, 87.619858
3.706501, 87.120811
3.842065, 86.432426
2.916907, 87.369324
3.200789, 87.242104
3.683429, 86.974426
4.442908, 86.588623
4.393127, 87.559433
4.988569, 87.555885
6.965060, 86.030937
8.268851, 86.297844
6.842366, 87.411919
4.729094, 88.816856
3.532730, 89.386780
2.296801, 89.753555
2.755005, 89.065323
5.109282, 86.754379
6.331652, 86.909286
7.132230, 86.617020
5.578526, 86.328865
4.635154, 85.732758
4.526620, 85.506798
2.812593, 87.521866
4.227288, 88.539543
8.679805, 88.785988
10.688962, 88.361938
11.180918, 86.529808
8.023645, 86.051865
4.196836, 88.269058
3.719745, 87.572525
5.099100, 86.830620
7.484943, 86.429947
8.749692, 86.853104
8.962152, 87.291985
8.076058, 87.136009
6.841543, 86.750900
5.102447, 87.351074
3.899512, 88.346542
4.384990, 88.076653
5.841358, 88.196457
7.904684, 87.635330
9.803949, 86.882446
10.548704, 86.224716
9.615153, 86.123627
7.619617, 86.518883
6.426968, 86.945992
6.595167, 87.212593
6.625555, 87.497536
6.214707, 88.798447
5.696738, 89.747673
6.598147, 88.194435
7.820336, 86.919731
7.935373, 87.785309
8.700823, 86.964027
9.105397, 86.340836
9.410856, 86.403465
9.466651, 86.020844
8.576694, 86.388573
5.737889, 89.637398
7.613930, 89.731735
10.629414, 87.120583
13.177651, 85.581352
13.634329, 85.646179
11.841957, 86.043411
10.350492, 87.465141
8.643037, 88.021896
8.559039, 87.531860
9.066854, 88.281944
10.210563, 87.749382
11.762403, 86.321266
11.110678, 87.121407
9.869433, 87.452019
7.967408, 88.801147
7.555087, 87.763657
8.853600, 86.996986
10.151099, 87.195847
10.684988, 87.830971
10.335766, 87.759995
9.649375, 88.073158
10.467158, 87.315475
11.973573, 86.295151
13.086460, 85.962349
13.086103, 86.112480
12.535212, 87.179321
11.944124, 87.877182
11.817215, 87.102722
10.801010, 87.455902
10.835904, 87.062149
11.292806, 87.174217
12.026192, 87.587021
12.237079, 87.062035
11.676686, 86.463570
11.313113, 86.710686
11.510321, 86.801170
11.865396, 87.325439
12.093127, 87.493538
12.336765, 86.630669
11.371463, 86.803375
10.125541, 87.575287
10.436829, 87.086777
11.503428, 86.990387
12.837208, 86.482292
12.968398, 86.418312
11.776342, 87.337776
10.808106, 86.968498
10.442743, 87.420692
11.478504, 87.518578
12.821308, 87.061562
13.735978, 87.048775
13.148366, 87.120117
11.969869, 86.827988
10.793551, 86.623871
10.344956, 86.283867
10.208659, 87.108635
11.162330, 86.679504
12.182305, 86.534019
12.632151, 87.858887
12.812560, 88.769577
12.652168, 87.493614
11.379224, 86.455551
9.259999, 86.740639
7.949632, 86.658195
7.256265, 86.694992
7.537621, 87.880859
9.430529, 88.751976
11.983379, 87.976837
13.961011, 86.262634
14.000612, 85.445351
11.960312, 86.248291
10.167234, 86.019043
8.340071, 85.915421
6.738641, 86.478279
4.872550, 88.728088
4.926217, 88.817169
5.673352, 88.571991
7.734241, 87.411728
8.822123, 87.107986
9.769317, 86.475296
10.907050, 84.669395
11.053999, 84.088600
9.188273, 86.848213
7.931261, 88.116745
7.085103, 86.922554
6.815156, 86.244736
5.897316, 87.568985
5.797688, 87.496017
5.822450, 87.055656
5.697937, 89.565697
8.444480, 85.806694
8.372673, 85.674911
7.298040, 85.271515
6.123196, 85.802071
4.510665, 86.382278
2.422862, 88.135529
1.902824, 88.831627
3.224814, 87.577942
4.080840, 87.101059
4.358518, 86.102303
4.562569, 85.621086
3.716244, 86.432556
4.878214, 85.340515
4.352981, 85.892517
3.146632, 86.951759
3.990398, 86.034203
4.884699, 85.129456
2.178902, 87.846596
4.323108, 86.240952
5.763833, 85.497871
6.525272, 84.828712
5.906204, 84.986359
5.520482, 84.510155
4.558675, 85.839127
5.286991, 86.167511
5.428987, 87.493423
4.670127, 89.063400
4.641823, 87.084038
5.003655, 85.635178
4.085552, 86.178284
3.995329, 86.418266
4.676130, 86.195091
5.636470, 86.187462
6.967483, 85.808800
7.819678, 85.505127
7.921481, 85.623024
7.474745, 86.535355
6.729744, 87.562477
6.407165, 87.937027
6.354353, 87.483147
5.922914, 88.436089
6.125562, 87.711075
7.254441, 86.279129
7.677172, 86.178680
8.451866, 85.984970
9.370819, 85.375511
9.322014, 85.992531
9.237402, 87.489006
8.834361, 87.880997
8.960135, 86.169456
9.202008, 85.794960
8.927139, 86.748199
8.727157, 88.108284
8.307558, 87.683533
8.879470, 85.923096
10.350446, 85.973778
12.265484, 85.962730
12.133352, 86.952019
11.675315, 87.450806
10.982646, 86.770210
10.331186, 87.125435
9.813843, 86.803421
10.060840, 85.990883
10.197612, 85.482140
11.274780, 85.747658
13.710365, 86.584274
14.442693, 86.211555
14.369721, 88.382988
13.769902, 87.818466
13.107555, 86.699104
13.628032, 85.743782
13.212863, 86.163521
13.475278, 86.420517
14.191161, 86.704559
13.965315, 86.239502
13.513265, 85.999649
13.412667, 86.240135
13.911000, 86.462692
14.833541, 85.696075
15.687712, 86.914474
16.775517, 88.098228
17.692347, 88.224556
18.634062, 88.676018
17.800917, 88.010513
16.822876, 86.535652
16.098639, 86.313789
16.419014, 86.146736
17.949358, 86.642601
19.250410, 85.640068
20.802359, 86.502914
20.871227, 85.807823
20.944067, 85.501617
20.212912, 87.348236
20.327469, 88.678253
20.372484, 88.986206
20.403385, 88.018036
20.874300, 87.426987
21.723049, 87.277351
21.836506, 86.989029
22.228436, 86.888275
23.075199, 86.530678
23.549707, 87.406952
24.305628, 87.225227
22.731298, 87.127136
21.883644, 86.821144
21.183371, 86.657593
21.966417, 85.674530
23.745869, 85.290939
24.959560, 86.745224
26.366096, 86.617180
27.408424, 88.023186
27.581116, 89.295296
23.828098, 86.145622
22.497841, 85.879272
22.168358, 86.551193
23.728292, 86.817596
25.890238, 86.330559
27.352434, 86.730324
28.835524, 86.723091
29.074774, 87.537308
27.769081, 87.700287
27.001287, 87.027138
26.878893, 87.738213
26.955614, 88.417503
26.823715, 87.467743
27.015491, 86.918640
26.888433, 87.445740
27.215490, 87.328613
27.262066, 87.041336
27.454153, 86.876770
28.959757, 87.544594
28.121359, 86.595711
27.434643, 87.542877
26.572483, 87.658554
26.577847, 87.188637
28.253843, 87.363068
29.392849, 87.946465
30.701591, 87.093002
31.364279, 87.221222
32.354618, 87.796227
33.266804, 89.335098
33.053272, 88.863083
33.468117, 89.208603
31.293985, 88.797829
31.072689, 86.914795
29.682108, 86.690575
30.261326, 87.706703
31.662708, 88.279945
33.061245, 89.031868
33.769989, 89.969772
36.521152, 89.026772
37.426636, 88.604614
38.746929, 88.865448
38.150169, 89.891228
37.747200, 90.413773
36.700638, 90.787933
35.537327, 89.460716
35.544014, 88.532166
35.050900, 88.577583
35.275421, 88.349121
36.271339, 88.343834
37.358166, 89.397522
37.771931, 89.279739
38.418125, 89.724831
38.513836, 90.546608
37.746094, 90.791367
40.175255, 89.649048
39.280403, 89.230682
39.309013, 90.060219
40.110043, 88.450630
40.748219, 88.823174
42.194874, 89.362793
43.038727, 89.751015
42.421429, 89.229050
42.420364, 90.081390
42.157887, 89.070206
42.126865, 89.440338
41.372154, 90.243568
42.033676, 90.000687
43.844360, 88.876556
45.148998, 89.233658
45.732399, 91.154808
45.608780, 91.221245
44.957325, 90.730080
46.342175, 90.434868
45.775574, 90.151733
44.694286, 89.824661
43.993893, 89.934044
42.638348, 90.708496
43.046242, 89.519066
44.290661, 89.853859
45.012020, 90.115105
45.812496, 90.653114
46.549915, 91.467056
45.983757, 90.185219
46.817719, 89.827667
46.298866, 90.931961
45.861401, 90.344246
44.383278, 90.193016
44.878269, 89.554939
